Time (YYYY-MM-DD HH-MM-SS), pH (calibrated), temp (mv), batt (mv), pH (mv)
2020-12-08 14:24:16,0.00,19.7,2628,0379
2020-12-08 14:29:33,0.00,19.7,3388,0351
2020-12-08 17:37:15,0.00,19.5,3380,0543
2020-12-08 17:42:28,0.00,19.7,3380,0579
2020-12-08 17:47:40,0.00,19.7,3380,0577
2020-12-08 17:52:52,0.00,19.7,3380,0769
2020-12-08 17:58:05,0.00,19.7,3380,0734
2020-12-08 18:03:18,0.00,19.7,3380,0709
2020-12-08 18:08:47,0.00,19.7,3384,0744
2020-12-08 18:13:49,0.00,19.5,3380,0544
2020-12-08 18:19:02,0.00,19.5,3380,0552
2020-12-08 18:24:16,0.00,19.6,3384,0551
2020-12-08 18:29:28,0.00,19.5,3384,0575
2020-12-08 18:34:44,0.00,19.3,3384,0351
2020-12-08 18:39:56,0.00,19.3,3380,0442
2020-12-08 18:45:08,0.00,19.3,3384,0432
2020-12-08 18:50:20,0.00,19.3,3384,0386
2020-12-08 18:55:31,0.00,19.6,3384,0563
2020-12-08 19:00:43,0.00,19.5,3384,0565
2020-12-08 19:05:57,0.00,19.5,3384,0585
2020-12-08 19:11:09,0.00,19.5,3380,0517
2020-12-08 19:16:21,0.00,19.7,3384,0707
2020-12-08 19:21:34,0.00,19.7,3380,0699
2020-12-08 19:26:47,0.00,19.7,3380,0635
2020-12-08 19:32:01,0.00,19.7,3384,0779
2020-12-08 19:37:14,0.00,19.6,3380,0583
2020-12-08 19:42:26,0.00,19.6,3380,0543
2020-12-08 19:47:39,0.00,19.3,3388,0574
2020-12-08 19:52:52,0.00,19.5,3384,0555
2020-12-08 19:58:05,0.00,19.3,3376,0416
2020-12-08 20:03:19,0.00,19.3,3384,0410
2020-12-08 20:08:31,0.00,19.3,3380,0403
2020-12-08 20:13:46,0.00,19.6,3384,0449
2020-12-08 20:18:57,0.00,19.5,3380,0605
2020-12-08 20:24:12,0.00,19.5,3380,0606
2020-12-08 20:29:24,0.00,19.5,3380,0569
2020-12-08 20:34:36,0.00,19.5,3384,0569
2020-12-08 20:39:48,0.00,19.7,3380,0735
2020-12-08 20:45:00,0.00,19.7,3380,0714
2020-12-08 20:50:13,0.00,19.7,3380,0788
2020-12-08 20:55:25,0.00,19.7,3380,0752
2020-12-08 21:00:38,0.00,19.6,3380,0597
2020-12-08 21:05:50,0.00,19.6,3376,0551
2020-12-08 21:11:02,0.00,19.5,3380,0567
2020-12-08 21:16:15,0.00,19.6,3380,0602
2020-12-08 21:21:30,0.00,19.3,3380,0412
2020-12-08 21:26:43,0.00,19.3,3376,0424
